Law ID,State,ST,Year,Suicides,Homicides,len_text,sentiment_score,Income,Pop,DEM_Perc,GOP_Perc,HuntLic,UniqueID,GunsAmmo,avg_own_est,SuicidesB3,HomicidesB3,SuicidesA3,HomicidesA3
AZ1018,Arizona,AZ,2008,8.45,5.36,45,0.522041619,46914,6280362,0.457,0.543,0.248850089,Arizona_2008,0.161881522,0.364121603,9.01,6.19,9.693333333,4.046666667
AZ1019,Arizona,AZ,1996,10.87,6.48,36,0.622389317,31637,4432308,0.512,0.488,0.267651527,Arizona_1996,0.318777335,0.378944078,12.47,7.19,10.37666667,5.853333333
AZ1022,Arizona,AZ,2011,10.11,4.09,450,0.627582014,48621,6473416,0.457,0.543,0.241434687,Arizona_2011,0.20179737,0.298337446,9.14,4.47,9.66,3.703333333
AZ1023,Arizona,AZ,2006,9.27,6.42,246,0.521617591,46657,6029141,0.447,0.553,0.243212951,Arizona_2006,0.207519895,0.350953786,8.923333333,6.02,8.94,4.92
AZ1027,Arizona,AZ,1996,10.87,6.48,467,0.600012243,31637,4432308,0.512,0.488,0.267651527,Arizona_1996,0.318777335,0.378944078,12.47,7.19,10.37666667,5.853333333
AZ1028,Arizona,AZ,1996,10.87,6.48,467,0.600012243,31637,4432308,0.512,0.488,0.267651527,Arizona_1996,0.318777335,0.378944078,12.47,7.19,10.37666667,5.853333333
AZ1029,Arizona,AZ,2009,9.44,3.69,368,0.595411777,45739,6343154,0.457,0.543,0.24761532,Arizona_2009,0.146842367,0.435879906,8.883333333,5.83,9.773333333,4.14
AZ1030,Arizona,AZ,2009,9.44,3.69,507,0.581875503,45739,6343154,0.457,0.543,0.24761532,Arizona_2009,0.146842367,0.435879906,8.883333333,5.83,9.773333333,4.14
AZ1031,Arizona,AZ,2014,9.64,3.31,287,0.583592951,49254,6732873,0.448,0.552,0.236577548,Arizona_2014,0.136861033,0.368824415,9.816666667,3.963333333,10.18333333,4.193333333
AZ1038,Arizona,AZ,1994,12.29,7.38,1133,0.547288954,31293,4147560,0.487,0.513,0.285970711,Arizona_1994,0.595246727,0.424661512,12.05,5.763333333,11.26,6.933333333
AZ1039,Arizona,AZ,1998,10.99,5.82,755,0.561921239,37090,4667277,0.512,0.488,0.253215494,Arizona_1998,0.291716181,0.399501561,11.26,6.933333333,9.43,5.76
AZ1046,Arizona,AZ,1994,12.29,7.38,702,0.532663107,31293,4147560,0.487,0.513,0.285970711,Arizona_1994,0.595246727,0.424661512,12.05,5.763333333,11.26,6.933333333
AZ1049,Arizona,AZ,1996,10.87,6.48,1553,0.573374033,31637,4432308,0.512,0.488,0.267651527,Arizona_1996,0.318777335,0.378944078,12.47,7.19,10.37666667,5.853333333
AR1003,Arkansas,AR,1995,10.41,8.35,110,0.617238045,25814,2480121,0.6,0.4,0.424544541,Arkansas_1995,-0.119207994,0.498458544,9.45,8.453333333,9.37,6.68
AR1025,Arkansas,AR,2018,11.1,6.69,192,0.531270087,49781,3012161,0.358,0.642,,Arkansas_2018,,,11.19333333,6.173333333,0,0
AR1030,Arkansas,AR,1994,10.46,8.17,1133,0.547288954,25565,2450605,0.6,0.4,0.424175822,Arkansas_1994,-0.123750118,0.572602297,9.133333333,8.556666667,9.66,7.46
AR1031,Arkansas,AR,1997,9.34,7.61,90,0.638276935,26162,2524007,0.594,0.406,0.435839609,Arkansas_1997,0.094603968,0.59319019,10.03333333,7.646666667,9.096666667,5.246666667
AR1032,Arkansas,AR,1998,9.54,6.01,755,0.561921239,27665,2538202,0.594,0.406,0.433909473,Arkansas_1998,0.337556376,0.453800929,9.66,7.46,9.286666667,4.62
AR1033,Arkansas,AR,1998,9.54,6.01,755,0.561921239,27665,2538202,0.594,0.406,0.433909473,Arkansas_1998,0.337556376,0.453800929,9.66,7.46,9.286666667,4.62
AR1039,Arkansas,AR,1994,10.46,8.17,702,0.532663107,25565,2450605,0.6,0.4,0.424175822,Arkansas_1994,-0.123750118,0.572602297,9.133333333,8.556666667,9.66,7.46
AR1040,Arkansas,AR,1997,9.34,7.61,67,0.600311935,26162,2524007,0.594,0.406,0.435839609,Arkansas_1997,0.094603968,0.59319019,10.03333333,7.646666667,9.096666667,5.246666667
AR1043,Arkansas,AR,1994,10.46,8.17,248,0.521505654,25565,2450605,0.6,0.4,0.424175822,Arkansas_1994,-0.123750118,0.572602297,9.133333333,8.556666667,9.66,7.46
AR1044,Arkansas,AR,2017,12.42,6.82,542,0.612101376,49751,3003855,0.358,0.642,,Arkansas_2017,,,10.51333333,5.806666667,11.1,6.69
AR1045,Arkansas,AR,1993,9.66,8.22,188,0.502344847,23039,2423743,0.6,0.4,0.363143891,Arkansas_1993,-0.131222821,0.675096193,8.87,8.725,10.03333333,7.646666667
AR1047,Arkansas,AR,1993,9.66,8.22,228,0.519425988,23039,2423743,0.6,0.4,0.363143891,Arkansas_1993,-0.131222821,0.675096193,8.87,8.725,10.03333333,7.646666667
CA1001,California,CA,1991,6.91,8.74,251,0.632464767,33664,30414114,0.482,0.518,0.154076373,California_1991,-0.019359884,0.35251906,0,0,6.936666667,9.24
