Suicides,Homicides,Year,State
9.36,1.96,1991,OR
10.18,2.43,1992,OR
8.98,2.69,1993,OR
9.87,3.56,1994,OR
9.67,2.91,1995,OR
9.9,2.3,1996,OR
9.87,2.33,1997,OR
9.61,2.55,1998,OR
8.99,1.76,1999,OR
8.61,1.8,2000,OR
7.93,1.35,2001,OR
8.09,1.85,2002,OR
8.94,1.42,2003,OR
7.93,1.83,2004,OR
8.4,1.46,2005,OR
8.02,1.74,2006,OR
8.33,1.12,2007,OR
8.01,1.29,2008,OR
8.54,1.36,2009,OR
9.18,1.57,2010,OR
8.43,1.64,2011,OR
8.89,1.35,2012,OR
9.11,1.39,2013,OR
9.79,1.33,2014,OR
8.52,2.35,2015,OR
9.32,1.92,2016,OR
9.83,1.85,2017,OR
9.41,1.64,2018,OR
6.27,3.88,1991,PA
6.15,4.18,1992,PA
6.5,4.79,1993,PA
6.04,4.11,1994,PA
6.66,4.35,1995,PA
6.21,4.28,1996,PA
6.34,4.71,1997,PA
6.08,3.72,1998,PA
5.62,3.66,1999,PA
5.92,3.74,2000,PA
5.37,3.79,2001,PA
5.69,3.9,2002,PA
5.58,3.97,2003,PA
5.58,4.26,2004,PA
5.84,4.52,2005,PA
5.58,4.96,2006,PA
5.46,4.64,2007,PA
5.72,4.4,2008,PA
6.06,4.03,2009,PA
5.62,4.13,2010,PA
6.45,4.21,2011,PA
5.94,4.53,2012,PA
6.64,4.09,2013,PA
6.28,3.92,2014,PA
6.7,4.34,2015,PA
7.05,4.48,2016,PA
7.1,5.03,2017,PA
7.27,4.82,2018,PA
3.07,2.24,1991,RI
2.63,1.68,1992,RI
2.88,2.6,1993,RI
2.52,2.46,1994,RI
3.32,2.19,1995,RI
3.31,1.46,1996,RI
2.36,1.37,1997,RI
2.42,0.98,1998,RI
3.29,2.02,1999,RI
2.52,2.58,2000,RI
2.28,1.92,2001,RI
2.78,2.36,2002,RI
1.04,1.9,2003,RI
1.91,1.6,2004,RI
1.68,1.84,2005,RI
2.4,1.73,2006,RI
2.17,1.23,2007,RI
1.96,1.78,2008,RI
3.54,1.31,2009,RI
2.82,1.6,2010,RI
1.8,1.13,2011,RI
2.53,1.45,2012,RI
3.23,1.69,2013,RI
1.69,1.18,2014,RI
3.6,0.99,2015,RI
2.83,1.12,2016,RI
2.87,0.98,2017,RI
2.05,1.16,2018,RI
8.61,7.34,1991,SC
9.76,8.09,1992,SC
9.41,6.92,1993,SC
8.96,7.23,1994,SC
8.08,4.9,1995,SC
9.25,6.45,1996,SC
7.89,5.84,1997,SC
8.35,5.8,1998,SC
7.22,5.49,1999,SC
7.46,4.14,2000,SC
7.58,5.54,2001,SC
7.37,5.47,2002,SC
7.85,5.64,2003,SC
7.64,5.23,2004,SC
7.29,5.53,2005,SC
7.01,6.25,2006,SC
6.81,5.68,2007,SC
7.11,5.53,2008,SC
7.82,5.24,2009,SC
8.24,5.07,2010,SC
8.74,5.51,2011,SC
8.5,5.91,2012,SC
9.23,5.31,2013,SC
9.42,5.57,2014,SC
9.17,7.55,2015,SC
9.93,7.09,2016,SC
9.97,7.71,2017,SC
9.06,7.9,2018,SC
8.13,0.94,1991,SD
6.2,0.41,1992,SD
11.71,1.75,1993,SD
9.11,0.55,1994,SD
7.89,1.11,1995,SD
9.98,0.52,1996,SD
9.91,0.86,1997,SD
9.54,0.37,1998,SD
7.35,1.3,1999,SD
6.83,0.13,2000,SD
5.64,0.89,2001,SD
6.46,0.67,2002,SD
7.75,0.49,2003,SD
7.88,0.87,2004,SD
8.81,0.91,2005,SD
8.96,0.34,2006,SD
5.21,0.59,2007,SD
8.56,1.31,2008,SD
7.54,1.28,2009,SD
8.09,,2010,SD
7.04,,2011,SD
8.69,,2012,SD
8.92,,2013,SD
8.75,,2014,SD
8.22,1.97,2015,SD
10.36,1.82,2016,SD
9.54,1.46,2017,SD
10.26,2.05,2018,SD
9.99,7.69,1991,TN
9.57,7.58,1992,TN
9.82,7.51,1993,TN
9.62,7.03,1994,TN
9.24,7.33,1995,TN
9.08,6.54,1996,TN
9.07,7.4,1997,TN
9.15,6.1,1998,TN
8.68,4.97,1999,TN
8.75,5.93,2000,TN
8.24,5.23,2001,TN
8.86,5.49,2002,TN
8.27,5.08,2003,TN
8.75,4.82,2004,TN
8.95,6.19,2005,TN
9.14,5.45,2006,TN
8.55,5.61,2007,TN
9.36,5.48,2008,TN
8.81,5.56,2009,TN
8.93,4.67,2010,TN
8.73,4.95,2011,TN
9.14,5.16,2012,TN
9.86,4.89,2013,TN
8.61,4.37,2014,TN
9.12,5.71,2015,TN
9.67,6.73,2016,TN
10.05,7.4,2017,TN
9.57,7.75,2018,TN
9.57,10.43,1991,TX
9.21,9.16,1992,TX
8.99,8.41,1993,TX
9.37,8,1994,TX
8.25,6.18,1995,TX
8,5.15,1996,TX
7.32,4.58,1997,TX
7.2,4.48,1998,TX
6.35,3.71,1999,TX
6.43,3.69,2000,TX
6.85,3.91,2001,TX
6.45,3.93,2002,TX
6.47,4.26,2003,TX
6.21,3.99,2004,TX
6.37,4.29,2005,TX
5.85,4.28,2006,TX
6.16,4.22,2007,TX
6.44,4.04,2008,TX
6.58,3.98,2009,TX
6.97,3.57,2010,TX
6.75,3.12,2011,TX
6.84,3.4,2012,TX
6.82,3.43,2013,TX
6.72,3.57,2014,TX
7.31,4.04,2015,TX
7.28,4.39,2016,TX
7.59,4.39,2017,TX
7.82,4.01,2018,TX
11.4,1.64,1991,UT
9.39,1.55,1992,UT
8.7,1.38,1993,UT
9.64,2.04,1994,UT
8.47,2.4,1995,UT
9.05,1.5,1996,UT
8.78,1.52,1997,UT
10.13,1.34,1998,UT
7.78,1.39,1999,UT
9.06,0.71,2000,UT
8.93,1.74,2001,UT
8.25,1.17,2002,UT
8.48,1.53,2003,UT
8.4,1.28,2004,UT
8.46,1.29,2005,UT
8.35,1.17,2006,UT
8.52,1.44,2007,UT
7.94,0.98,2008,UT
8.83,1.15,2009,UT
10.65,1.05,2010,UT
10.51,1.06,2011,UT
10.96,1,2012,UT
10.99,1.19,2013,UT
10.32,1.27,2014,UT
11.05,1.29,2015,UT
10.95,1.52,2016,UT
11.86,1.72,2017,UT
11.3,1.08,2018,UT
11.3,2.35,1991,VT
10.05,2.05,1992,VT
12,1.66,1993,VT
6.59,0.32,1994,VT
8.41,1.14,1995,VT
7.64,0.84,1996,VT
6.83,1.53,1997,VT
9.37,0.64,1998,VT
7.53,1.31,1999,VT
7.5,0.64,2000,VT
6.76,1.12,2001,VT
8.5,0.45,2002,VT
5.96,1.09,2003,VT
8.64,0.32,2004,VT
5.52,1.08,2005,VT
6.4,1.23,2006,VT
6.46,1.62,2007,VT
6.6,,2008,VT
8.57,,2009,VT
9.56,,2010,VT
10.21,,2011,VT
7.82,,2012,VT
8.53,,2013,VT
8.5,,2014,VT
7.91,1.76,2015,VT
9.58,,2016,VT
10.38,,2017,VT
10.45,1.74,2018,VT
8.84,5.54,1991,VA
8.98,5.84,1992,VA
8.25,5.8,1993,VA
8.42,5.96,1994,VA
8.32,5.15,1995,VA
8.44,4.98,1996,VA
7.39,5.2,1997,VA
7.74,4.13,1998,VA
7.2,3.9,1999,VA
6.87,3.9,2000,VA
6.48,3.74,2001,VA
6.76,3.86,2002,VA
6.09,4.46,2003,VA
6.55,3.89,2004,VA
6.59,4.58,2005,VA
6.31,3.62,2006,VA
6.15,3.87,2007,VA
6.51,3.17,2008,VA
6.39,3.44,2009,VA
6.99,3.37,2010,VA
7.12,2.85,2011,VA
6.99,2.7,2012,VA
6.94,2.8,2013,VA
7.1,2.83,2014,VA
7.06,3.29,2015,VA
7.44,4.28,2016,VA
7.51,4.05,2017,VA
7.46,4.04,2018,VA
8.15,2.39,1991,WA
7.62,3.17,1992,WA
8.21,3.05,1993,WA
8.33,3.65,1994,WA
8.4,3.09,1995,WA
8.27,2.43,1996,WA
7.56,2.74,1997,WA
6.73,2.4,1998,WA
7.82,1.82,1999,WA
6.72,1.87,2000,WA
6.57,1.74,2001,WA
7.22,1.78,2002,WA
7.11,1.77,2003,WA
6.84,1.95,2004,WA
6.16,2.19,2005,WA
6.08,1.9,2006,WA
6.23,1.91,2007,WA
6.44,1.93,2008,WA
6.85,1.76,2009,WA
6.74,1.72,2010,WA
6.93,1.3,2011,WA
7.34,1.87,2012,WA
6.53,1.64,2013,WA
7.46,1.74,2014,WA
7.22,2.32,2015,WA
6.62,2.01,2016,WA
8.15,2.26,2017,WA
7.43,2.37,2018,WA
9.64,4.62,1991,WV
9.82,5.25,1992,WV
11.25,5.28,1993,WV
9.73,4.7,1994,WV
11.5,3.75,1995,WV
10.53,2.97,1996,WV
9.35,3.58,1997,WV
8.47,3.27,1998,WV
8.74,3.48,1999,WV
9.2,3.11,2000,WV
10.09,2.09,2001,WV
9.95,3.73,2002,WV
9.87,3.4,2003,WV
10.2,2.92,2004,WV
9.56,3.32,2005,WV
9.2,3.2,2006,WV
10.51,2.68,2007,WV
8.82,2.15,2008,WV
9.14,3.25,2009,WV
10.64,2.72,2010,WV
10.03,3.44,2011,WV
10.03,3.97,2012,WV
11.3,2.34,2013,WV
10.58,3.35,2014,WV
10.39,2.89,2015,WV
12.12,4.62,2016,WV
13.84,4.09,2017,WV
13.04,4.04,2018,WV
6.74,2.75,1991,WI
6.11,2.91,1992,WI
6.87,2.74,1993,WI
6.68,2.76,1994,WI
6.61,2.76,1995,WI
6.44,2.63,1996,WI
5.27,2.35,1997,WI
5.87,2.13,1998,WI
5.56,2.37,1999,WI
5.63,2.07,2000,WI
5.79,2.47,2001,WI
5.55,2.25,2002,WI
5.54,2.56,2003,WI
5.47,1.68,2004,WI
5.36,2.88,2005,WI
5.32,1.97,2006,WI
5.87,2.35,2007,WI
5.91,1.5,2008,WI
5.86,1.9,2009,WI
6.35,1.89,2010,WI
5.97,1.6,2011,WI
5.79,2.34,2012,WI
7.26,2.07,2013,WI
5.78,2.16,2014,WI
6.9,3.18,2015,WI
7.49,3.54,2016,WI
7.06,2.92,2017,WI
6.75,2.93,2018,WI
15.26,2.27,1991,WY
14.57,1.52,1992,WY
17.1,2.38,1993,WY
16.1,3.23,1994,WY
12.64,0.98,1995,WY
13.67,2.69,1996,WY
14.75,2.22,1997,WY
11.78,1.4,1998,WY
12.95,1.06,1999,WY
10.09,1.07,2000,WY
12.01,1.7,2001,WY
16.26,1.58,2002,WY
14.84,1.19,2003,WY
9.59,1.03,2004,WY
10.61,2.1,2005,WY
13.26,1.11,2006,WY
12.77,1.65,2007,WY
15.81,,2008,WY
14.92,1.87,2009,WY
13.76,,2010,WY
14.58,2.16,2011,WY
17.4,,2012,WY
14.21,,2013,WY
13.7,,2014,WY
16.58,2.16,2015,WY
14.95,2.05,2016,WY
16.49,,2017,WY
18.05,2.46,2018,WY
