State,index,Pop,Year
Tennessee,42,5163016,1994
Texas,43,18338319,1994
Utah,44,1930436,1994
Vermont,45,578900,1994
Virginia,46,6536771,1994
Washington,47,5334896,1994
West Virginia,48,1818490,1994
Wisconsin,49,5095504,1994
Wyoming,50,474982,1994
Alabama,0,4262731,1995
Alaska,1,601345,1995
Arizona,2,4306908,1995
Arkansas,3,2480121,1995
California,4,31493525,1995
Colorado,5,3738061,1995
Connecticut,6,3265293,1995
Delaware,7,718265,1995
District of Columbia,8,551273,1995
Florida,9,14185403,1995
Georgia,10,7188538,1995
Hawaii,11,1180490,1995
Idaho,12,1165000,1995
Illinois,13,11884935,1995
Indiana,14,5791819,1995
Iowa,15,2840860,1995
Kansas,16,2586942,1995
Kentucky,17,3855248,1995
Louisiana,18,4327978,1995
Maine,19,1237438,1995
Maryland,20,5023650,1995
Massachusetts,21,6062335,1995
Michigan,22,9659871,1995
Minnesota,23,4605445,1995
Mississippi,24,2690788,1995
Missouri,25,5324610,1995
Montana,26,868522,1995
Nebraska,27,1635142,1995
Nevada,28,1525777,1995
New Hampshire,29,1145604,1995
New Jersey,30,7965523,1995
New Mexico,31,1682417,1995
New York,32,18150928,1995
North Carolina,33,7185403,1995
North Dakota,34,641548,1995
Ohio,35,11155493,1995
Oklahoma,36,3265547,1995
Oregon,37,3141421,1995
Pennsylvania,38,12044780,1995
Rhode Island,39,989203,1995
South Carolina,40,3699943,1995
South Dakota,41,728251,1995
Tennessee,42,5241168,1995
Texas,43,18679706,1995
Utah,44,1976774,1995
Vermont,45,582827,1995
Virginia,46,6601392,1995
Washington,47,5431024,1995
West Virginia,48,1820560,1995
Wisconsin,49,5137004,1995
Wyoming,50,478447,1995
Alabama,0,4290403,1996
Alaska,1,604918,1996
Arizona,2,4432308,1996
Arkansas,3,2504858,1996
California,4,31780829,1996
Colorado,5,3812716,1996
Connecticut,6,3267030,1996
Delaware,7,727090,1996
District of Columbia,8,538273,1996
Florida,9,14426911,1996
Georgia,10,7332225,1996
Hawaii,11,1184434,1996
Idaho,12,1187706,1996
Illinois,13,11953003,1996
Indiana,14,5834908,1996
Iowa,15,2848473,1996
Kansas,16,2598266,1996
Kentucky,17,3881051,1996
Louisiana,18,4338763,1996
Maine,19,1241436,1996
Maryland,20,5057142,1996
Massachusetts,21,6085393,1996
Michigan,22,9739184,1996
Minnesota,23,4647723,1996
Mississippi,24,2709925,1996
Missouri,25,5367888,1996
Montana,26,876656,1996
Nebraska,27,1647657,1996
Nevada,28,1596476,1996
New Hampshire,29,1160768,1996
New Jersey,30,8009624,1996
New Mexico,31,1706151,1996
New York,32,18143805,1996
North Carolina,33,7307658,1996
North Dakota,34,642858,1996
Ohio,35,11187032,1996
Oklahoma,36,3289634,1996
Oregon,37,3195087,1996
Pennsylvania,38,12038008,1996
Rhode Island,39,987858,1996
South Carolina,40,3738974,1996
South Dakota,41,730699,1996
Tennessee,42,5313576,1996
Texas,43,19006240,1996
Utah,44,2022253,1996
Vermont,45,586352,1996
Virginia,46,6665491,1996
Washington,47,5509963,1996
West Virginia,48,1818983,1996
Wisconsin,49,5173828,1996
Wyoming,50,480085,1996
Alabama,0,4320281,1997
Alaska,1,608846,1997
Arizona,2,4552207,1997
Arkansas,3,2524007,1997
California,4,32217708,1997
Colorado,5,3891293,1997
Connecticut,6,3268514,1997
Delaware,7,735024,1997
District of Columbia,8,528752,1997
Florida,9,14683350,1997
Georgia,10,7486094,1997
Hawaii,11,1189322,1997
Idaho,12,1210638,1997
Illinois,13,12011509,1997
Indiana,14,5872370,1997
Iowa,15,2854396,1997
Kansas,16,2616339,1997
Kentucky,17,3907816,1997
Louisiana,18,4351390,1997
Maine,19,1245215,1997
Maryland,20,5092914,1997
Massachusetts,21,6115476,1997
Michigan,22,9785450,1997
Minnesota,23,4687726,1997
Mississippi,24,2731826,1997
Missouri,25,5407113,1997
Montana,26,878706,1997
Nebraska,27,1656042,1997
Nevada,28,1675581,1997
New Hampshire,29,1173239,1997
New Jersey,30,8054178,1997
New Mexico,31,1722939,1997
New York,32,18143184,1997
North Carolina,33,7428672,1997
North Dakota,34,640945,1997
Ohio,35,11212498,1997
Oklahoma,36,3314259,1997
Oregon,37,3243254,1997
Pennsylvania,38,12015888,1997
Rhode Island,39,986966,1997
South Carolina,40,3790066,1997
South Dakota,41,730855,1997
Tennessee,42,5378433,1997
Texas,43,19355427,1997
Utah,44,2065397,1997
Vermont,45,588665,1997
Virginia,46,6732878,1997
Washington,47,5604105,1997
West Virginia,48,1815588,1997
Wisconsin,49,5200235,1997
Wyoming,50,480031,1997
Alabama,0,4351037,1998
Alaska,1,615205,1998
Arizona,2,4667277,1998
Arkansas,3,2538202,1998
California,4,32682794,1998
Colorado,5,3968967,1998
Connecticut,6,3272563,1998
Delaware,7,744066,1998
District of Columbia,8,521426,1998
Florida,9,14908230,1998
Georgia,10,7636522,1998
Hawaii,11,1190472,1998
Idaho,12,1230923,1998
Illinois,13,12069774,1998
Indiana,14,5907617,1998
Iowa,15,2861025,1998
Kansas,16,2638667,1998
Kentucky,17,3934310,1998
Louisiana,18,4362758,1998
Maine,19,1247554,1998
Maryland,20,5130072,1998
Massachusetts,21,6144407,1998
Michigan,22,9820231,1998
Minnesota,23,4726411,1998
Mississippi,24,2751335,1998
Missouri,25,5437562,1998
Montana,26,879533,1998
Nebraska,27,1660772,1998
Nevada,28,1743772,1998
New Hampshire,29,1185823,1998
New Jersey,30,8095542,1998
New Mexico,31,1733535,1998
New York,32,18159175,1998
North Carolina,33,7545828,1998
North Dakota,34,637808,1998
Ohio,35,11237752,1998
Oklahoma,36,3339478,1998
Oregon,37,3282055,1998
Pennsylvania,38,12002329,1998
Rhode Island,39,987704,1998
South Carolina,40,3839578,1998
South Dakota,41,730789,1998
Tennessee,42,5432679,1998
Texas,43,19712389,1998
Utah,44,2100562,1998
Vermont,45,590579,1998
Virginia,46,6789225,1998
Washington,47,5687832,1998
West Virginia,48,1811688,1998
Wisconsin,49,5222124,1998
Wyoming,50,480045,1998
Alabama,0,4369862,1999
Alaska,1,619500,1999
Arizona,2,4778332,1999
Arkansas,3,2551373,1999
California,4,33145121,1999
Colorado,5,4056133,1999
Connecticut,6,3282031,1999
Delaware,7,753538,1999
District of Columbia,8,519000,1999
Florida,9,15111244,1999
Georgia,10,7788240,1999
Hawaii,11,1185497,1999
Idaho,12,1251700,1999
Illinois,13,12128370,1999
Indiana,14,5942901,1999
Iowa,15,2869413,1999
Kansas,16,2654052,1999
Kentucky,17,3960825,1999
Louisiana,18,4372035,1999
Maine,19,1253040,1999
Maryland,20,5171634,1999
Massachusetts,21,6175169,1999
Michigan,22,9863775,1999
Minnesota,23,4775508,1999
Mississippi,24,2768619,1999
Missouri,25,5468338,1999
Montana,26,882779,1999
Nebraska,27,1666028,1999
Nevada,28,1809253,1999
New Hampshire,29,1201134,1999
New Jersey,30,8143412,1999
New Mexico,31,1739844,1999
New York,32,18196601,1999
North Carolina,33,7650789,1999
North Dakota,34,633666,1999
Ohio,35,11256654,1999
Oklahoma,36,3358044,1999
Oregon,37,3316154,1999
Pennsylvania,38,11994016,1999
Rhode Island,39,990819,1999
South Carolina,40,3885736,1999
South Dakota,41,733133,1999
Tennessee,42,5483535,1999
Texas,43,20044141,1999
Utah,44,2129836,1999
Vermont,45,593740,1999
Virginia,46,6872912,1999
