State,index,Pop,Year
Georgia,10,9712209,2010
Hawaii,11,1364004,2010
Idaho,12,1570819,2010
Illinois,13,12840545,2010
Indiana,14,6490555,2010
Iowa,15,3050819,2010
Kansas,16,2858266,2010
Kentucky,17,4348464,2010
Louisiana,18,4544635,2010
Maine,19,1327651,2010
Maryland,20,5788784,2010
Massachusetts,21,6566440,2010
Michigan,22,9877597,2010
Minnesota,23,5310934,2010
Mississippi,24,2970615,2010
Missouri,25,5996089,2010
Montana,26,990730,2010
Nebraska,27,1829591,2010
Nevada,28,2702483,2010
New Hampshire,29,1316807,2010
New Jersey,30,8799451,2010
New Mexico,31,2064614,2010
New York,32,19399956,2010
North Carolina,33,9574586,2010
North Dakota,34,674752,2010
Ohio,35,11539449,2010
Oklahoma,36,3760014,2010
Oregon,37,3837614,2010
Pennsylvania,38,12711406,2010
Rhode Island,39,1053994,2010
South Carolina,40,4635846,2010
South Dakota,41,816193,2010
Tennessee,42,6355518,2010
Texas,43,25241897,2010
Utah,44,2775413,2010
Vermont,45,625886,2010
Virginia,46,8024004,2010
Washington,47,6743009,2010
West Virginia,48,1854265,2010
Wisconsin,49,5690538,2010
Wyoming,50,564531,2010
Alabama,0,4799642,2011
Alaska,1,722349,2011
Arizona,2,6473416,2011
Arkansas,3,2941038,2011
California,4,37636311,2011
Colorado,5,5121900,2011
Connecticut,6,3588632,2011
Delaware,7,907590,2011
District of Columbia,8,620290,2011
Florida,9,19055607,2011
Georgia,10,9803630,2011
Hawaii,11,1379562,2011
Idaho,12,1584272,2011
Illinois,13,12867783,2011
Indiana,14,6517250,2011
Iowa,15,3066772,2011
Kansas,16,2869677,2011
Kentucky,17,4370817,2011
Louisiana,18,4576244,2011
Maine,19,1328473,2011
Maryland,20,5840241,2011
Massachusetts,21,6614218,2011
Michigan,22,9883053,2011
Minnesota,23,5346620,2011
Mississippi,24,2979147,2011
Missouri,25,6011182,2011
Montana,26,997518,2011
Nebraska,27,1840914,2011
Nevada,28,2713114,2011
New Hampshire,29,1320444,2011
New Jersey,30,8828552,2011
New Mexico,31,2080706,2011
New York,32,19499921,2011
North Carolina,33,9658913,2011
North Dakota,34,685526,2011
Ohio,35,11545735,2011
Oklahoma,36,3788824,2011
Oregon,37,3872672,2011
Pennsylvania,38,12747052,2011
Rhode Island,39,1053829,2011
South Carolina,40,4672655,2011
South Dakota,41,823740,2011
Tennessee,42,6400298,2011
Texas,43,25645504,2011
Utah,44,2814797,2011
Vermont,45,627197,2011
Virginia,46,8102437,2011
Washington,47,6827479,2011
West Virginia,48,1856606,2011
Wisconsin,49,5705840,2011
Wyoming,50,567491,2011
Alabama,0,4816632,2012
Alaska,1,730810,2012
Arizona,2,6556344,2012
Arkansas,3,2952876,2012
California,4,37944551,2012
Colorado,5,5193660,2012
Connecticut,6,3595211,2012
Delaware,7,915518,2012
District of Columbia,8,635737,2012
Florida,9,19302016,2012
Georgia,10,9903580,2012
Hawaii,11,1395199,2012
Idaho,12,1595910,2012
Illinois,13,12883029,2012
Indiana,14,6538989,2012
Iowa,15,3076844,2012
Kansas,16,2886024,2012
Kentucky,17,4387865,2012
Louisiana,18,4602067,2012
Maine,19,1328094,2012
Maryland,20,5888375,2012
Massachusetts,21,6664269,2012
Michigan,22,9898289,2012
Minnesota,23,5377500,2012
Mississippi,24,2984599,2012
Missouri,25,6026027,2012
Montana,26,1004168,2012
Nebraska,27,1853691,2012
Nevada,28,2744670,2012
New Hampshire,29,1324677,2012
New Jersey,30,8845671,2012
New Mexico,31,2087715,2012
New York,32,19574362,2012
North Carolina,33,9751810,2012
North Dakota,34,702227,2012
Ohio,35,11550971,2012
Oklahoma,36,3819320,2012
Oregon,37,3900102,2012
Pennsylvania,38,12769123,2012
Rhode Island,39,1054893,2012
South Carolina,40,4719027,2012
South Dakota,41,833859,2012
Tennessee,42,6455752,2012
Texas,43,26084120,2012
Utah,44,2854146,2012
Vermont,45,626361,2012
Virginia,46,8187456,2012
Washington,47,6898599,2012
West Virginia,48,1857446,2012
Wisconsin,49,5720825,2012
Wyoming,50,576656,2012
Alabama,0,4831586,2013
Alaska,1,737626,2013
Arizona,2,6634690,2013
Arkansas,3,2960459,2013
California,4,38253768,2013
Colorado,5,5270774,2013
Connecticut,6,3595792,2013
Delaware,7,924062,2013
District of Columbia,8,651559,2013
Florida,9,19551678,2013
Georgia,10,9975592,2013
Hawaii,11,1408822,2013
Idaho,12,1612053,2013
Illinois,13,12895778,2013
Indiana,14,6570575,2013
Iowa,15,3093935,2013
Kansas,16,2894306,2013
Kentucky,17,4406906,2013
Louisiana,18,4626040,2013
Maine,19,1328543,2013
Maryland,20,5925197,2013
Massachusetts,21,6715158,2013
Michigan,22,9914802,2013
Minnesota,23,5414722,2013
Mississippi,24,2989839,2013
Missouri,25,6042989,2013
Montana,26,1014158,2013
Nebraska,27,1865813,2013
Nevada,28,2776956,2013
New Hampshire,29,1327272,2013
New Jersey,30,8857821,2013
New Mexico,31,2092833,2013
New York,32,19626488,2013
North Carolina,33,9846717,2013
North Dakota,34,723149,2013
Ohio,35,11579692,2013
Oklahoma,36,3853891,2013
Oregon,37,3924110,2013
Pennsylvania,38,12779538,2013
Rhode Island,39,1055560,2013
South Carolina,40,4766469,2013
South Dakota,41,842751,2013
Tennessee,42,6496943,2013
Texas,43,26479646,2013
Utah,44,2898773,2013
Vermont,45,626603,2013
Virginia,46,8255861,2013
Washington,47,6966252,2013
West Virginia,48,1854768,2013
Wisconsin,49,5738012,2013
Wyoming,50,582620,2013
Alabama,0,4843737,2014
Alaska,1,737075,2014
Arizona,2,6732873,2014
Arkansas,3,2968759,2014
California,4,38586706,2014
Colorado,5,5352637,2014
Connecticut,6,3595697,2014
Delaware,7,933131,2014
District of Columbia,8,663603,2014
Florida,9,19853880,2014
Georgia,10,10071204,2014
Hawaii,11,1415335,2014
Idaho,12,1632248,2014
Illinois,13,12885092,2014
Indiana,14,6596019,2014
Iowa,15,3110643,2014
Kansas,16,2901861,2014
Kentucky,17,4416992,2014
Louisiana,18,4645938,2014
Maine,19,1331217,2014
Maryland,20,5960064,2014
Massachusetts,21,6764864,2014
Michigan,22,9932033,2014
Minnesota,23,5452665,2014
Mississippi,24,2991892,2014
Missouri,25,6059130,2014
Montana,26,1022657,2014
Nebraska,27,1879955,2014
Nevada,28,2818935,2014
New Hampshire,29,1334257,2014
New Jersey,30,8867277,2014
New Mexico,31,2090235,2014
New York,32,19653431,2014
North Carolina,33,9937295,2014
North Dakota,34,738736,2014
Ohio,35,11606573,2014
Oklahoma,36,3879187,2014
Oregon,37,3965447,2014
Pennsylvania,38,12792392,2014
Rhode Island,39,1056511,2014
South Carolina,40,4826858,2014
South Dakota,41,849670,2014
Tennessee,42,6544617,2014
Texas,43,26963092,2014
Utah,44,2938327,2014
Vermont,45,625693,2014
Virginia,46,8315430,2014
Washington,47,7057531,2014
West Virginia,48,1850569,2014
Wisconsin,49,5753199,2014
Wyoming,50,583159,2014
Alabama,0,4854803,2015
Alaska,1,738430,2015
Arizona,2,6832810,2015
Arkansas,3,2979732,2015
California,4,38904296,2015
Colorado,5,5454328,2015
Connecticut,6,3588561,2015
Delaware,7,942065,2015
District of Columbia,8,677014,2015
Florida,9,20219111,2015
Georgia,10,10183353,2015
Hawaii,11,1422999,2015
Idaho,12,1652495,2015
Illinois,13,12859585,2015
Indiana,14,6611442,2015
Iowa,15,3122541,2015
Kansas,16,2910717,2015
Kentucky,17,4429126,2015
Louisiana,18,4666998,2015
Maine,19,1329098,2015
Maryland,20,5988528,2015
Massachusetts,21,6797484,2015
Michigan,22,9934483,2015
Minnesota,23,5484002,2015
Mississippi,24,2990231,2015
Missouri,25,6075411,2015
Montana,26,1031494,2015
Nebraska,27,1892059,2015
Nevada,28,2868531,2015
New Hampshire,29,1337480,2015
New Jersey,30,8870312,2015
New Mexico,31,2090071,2015
New York,32,19657321,2015
North Carolina,33,10037218,2015
North Dakota,34,755537,2015
Ohio,35,11622315,2015
Oklahoma,36,3910518,2015
Oregon,37,4018542,2015
Pennsylvania,38,12789838,2015
Rhode Island,39,1056886,2015
South Carolina,40,4896006,2015
South Dakota,41,854663,2015
Tennessee,42,6595354,2015
Texas,43,27468531,2015
Utah,44,2983626,2015
Vermont,45,625810,2015
Virginia,46,8367303,2015
Washington,47,7167287,2015
West Virginia,48,1843332,2015
Wisconsin,49,5762927,2015
Wyoming,50,586389,2015
Alabama,0,4866824,2016
Alaska,1,742575,2016
Arizona,2,6944767,2016
Arkansas,3,2991815,2016
California,4,39149186,2016
Colorado,5,5543844,2016
Connecticut,6,3579830,2016
Delaware,7,949989,2016
District of Columbia,8,687576,2016
Florida,9,20627237,2016
Georgia,10,10308442,2016
Hawaii,11,1428885,2016
Idaho,12,1684036,2016
Illinois,13,12821709,2016
Indiana,14,6637898,2016
Iowa,15,3133210,2016
Kansas,16,2912977,2016
Kentucky,17,4440306,2016
Louisiana,18,4681346,2016
Maine,19,1332348,2016
Maryland,20,6007014,2016
Massachusetts,21,6827280,2016
Michigan,22,9954117,2016
Minnesota,23,5525360,2016
Mississippi,24,2990595,2016
Missouri,25,6091384,2016
Montana,26,1042137,2016
Nebraska,27,1906483,2016
Nevada,28,2919555,2016
New Hampshire,29,1343694,2016
New Jersey,30,8873584,2016
New Mexico,31,2092554,2016
New York,32,19636391,2016
North Carolina,33,10161802,2016
North Dakota,34,756114,2016
Ohio,35,11640060,2016
Oklahoma,36,3928143,2016
Oregon,37,4093271,2016
Pennsylvania,38,12788468,2016
Rhode Island,39,1057816,2016
South Carolina,40,4963031,2016
South Dakota,41,863693,2016
Tennessee,42,6651277,2016
Texas,43,27914064,2016
Utah,44,3044241,2016
Vermont,45,624366,2016
Virginia,46,8417651,2016
Washington,47,7299961,2016
West Virginia,48,1832435,2016
Wisconsin,49,5775170,2016
Wyoming,50,585243,2016
Alabama,0,4877989,2017
Alaska,1,740983,2017
Arizona,2,7048088,2017
Arkansas,3,3003855,2017
California,4,39337785,2017
Colorado,5,5617421,2017
Connecticut,6,3575324,2017
Delaware,7,957942,2017
District of Columbia,8,697079,2017
Florida,9,20977089,2017
Georgia,10,10417031,2017
Hawaii,11,1425763,2017
Idaho,12,1719745,2017
Illinois,13,12779893,2017
Indiana,14,6662068,2017
Iowa,15,3143734,2017
Kansas,16,2910892,2017
Kentucky,17,4455590,2017
Louisiana,18,4673673,2017
Maine,19,1335743,2017
Maryland,20,6028186,2017
Massachusetts,21,6863560,2017
Michigan,22,9976752,2017
Minnesota,23,5569283,2017
Mississippi,24,2990674,2017
Missouri,25,6111382,2017
Montana,26,1053862,2017
Nebraska,27,1916998,2017
Nevada,28,2972097,2017
New Hampshire,29,1350395,2017
New Jersey,30,8888147,2017
New Mexico,31,2092844,2017
New York,32,19593849,2017
North Carolina,33,10275758,2017
North Dakota,34,756755,2017
Ohio,35,11665706,2017
Oklahoma,36,3933602,2017
Oregon,37,4147294,2017
Pennsylvania,38,12794679,2017
Rhode Island,39,1056554,2017
South Carolina,40,5027102,2017
South Dakota,41,873732,2017
Tennessee,42,6714748,2017
Texas,43,28291024,2017
Utah,44,3103540,2017
Vermont,45,625132,2017
Virginia,46,8471011,2017
Washington,47,7427951,2017
West Virginia,48,1818683,2017
Wisconsin,49,5793147,2017
Wyoming,50,579994,2017
Alabama,0,4891628,2018
Alaska,1,736624,2018
Arizona,2,7164228,2018
Arkansas,3,3012161,2018
California,4,39437463,2018
Colorado,5,5697155,2018
Connecticut,6,3574561,2018
Delaware,7,966985,2018
District of Columbia,8,704147,2018
Florida,9,21254926,2018
Georgia,10,10519389,2018
Hawaii,11,1423102,2018
Idaho,12,1752074,2018
Illinois,13,12724685,2018
Indiana,14,6698481,2018
Iowa,15,3149900,2018
Kansas,16,2912748,2018
Kentucky,17,4464273,2018
Louisiana,18,4664450,2018
Maine,19,1340123,2018
Maryland,20,6042153,2018
Massachusetts,21,6885720,2018
Michigan,22,9987286,2018
Minnesota,23,5608762,2018
Mississippi,24,2982879,2018
Missouri,25,6125986,2018
Montana,26,1061818,2018
Nebraska,27,1925512,2018
Nevada,28,3030725,2018
New Hampshire,29,1355064,2018
New Jersey,30,8891730,2018
New Mexico,31,2093754,2018
New York,32,19544098,2018
North Carolina,33,10391358,2018
North Dakota,34,760062,2018
Ohio,35,11680892,2018
Oklahoma,36,3943488,2018
Oregon,37,4183537,2018
Pennsylvania,38,12809107,2018
Rhode Island,39,1059338,2018
South Carolina,40,5091702,2018
South Dakota,41,879386,2018
Tennessee,42,6778180,2018
Texas,43,28624564,2018
Utah,44,3155153,2018
Vermont,45,624802,2018
Virginia,46,8510920,2018
Washington,47,7526793,2018
West Virginia,48,1805953,2018
Wisconsin,49,5809319,2018
Wyoming,50,579054,2018
