Year,ST,Permissive,Restrictive,background checks,carrying a concealed weapon (ccw),castle doctrine,child access laws,dealer license,firearm sales restrictions,minimum age,open carry,permit to purchase,prohibited possessor,registration,safety training required,waiting period,Implement,Modify,Repeal,universl,permit,sentiment_score,HuntLic,GunsAmmo,BackChk,avg_own_est,Suicides,Homicides
2010.0,AZ,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9990474581718445,0.243934552,0.169366635,-0.527318979,0.3282503005,9.53,4.36
2014.0,AZ,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9885333776473999,0.236577548,0.136861033,-0.516806432,0.368824415,9.64,3.31
1991.0,CA,0.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,1.0,0.0,1.0,0.0,0.9908114075660706,0.154076373,-0.019359884,-0.33087905340000007,0.3525190595,6.91,8.74
1992.0,CA,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.996663510799408,0.151101858,-0.102750319,-0.2506779558000001,0.47039975940000006,6.89,9.21
1994.0,CA,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,1.0,0.9932007193565369,0.173162217,-0.094675562,-0.34315092180000006,0.234772232,6.77,8.91
1997.0,CA,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,1.0,1.0,0.994931161403656,0.162568085,-0.844210401,-0.579994132,0.335262937,5.7,5.87
1998.0,CA,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.9845346212387085,0.097368633,-1.056209347,-0.886110324,0.198553994,5.5,4.62
2000.0,CA,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.6467769145965576,0.157698424,-1.125090262,-0.743360241,0.28960493966666667,4.67,4.21
2001.0,CA,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.9993584752082825,0.156527749,-1.124564832,-0.797075042,0.214033918,4.45,4.4
2002.0,CA,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.9625751972198486,0.156495978,-1.183212923,-0.98425093,0.207165818,4.5,4.95
2003.0,CA,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.9962722063064575,0.154670221,-1.104677471,-1.202189231,0.215295922,4.44,4.83
2004.0,CA,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.781150221824646,0.154942574,-1.062389653,-1.171225228,0.2265428045,4.0,4.86
